layer	context	tissue	intervention	rank	mark	rev_beta
transcriptome	adipose/diet+exercise	adipose	diet+exercise	20	SPANXA2	-0.8365422938699493
transcriptome	adipose/diet+exercise	adipose	diet+exercise	21	C6	0.8349930023899765
transcriptome	adipose/diet+exercise	adipose	diet+exercise	22	NQO1	-0.7676250110600632
transcriptome	adipose/diet+exercise	adipose	diet+exercise	23	TNFRSF11B	-0.7674982091713084
transcriptome	adipose/diet+exercise	adipose	diet+exercise	24	REC8	0.7566619044145182
transcriptome	adipose/diet+exercise	adipose	diet+exercise	25	B4GALT6	-0.7356160939702737
transcriptome	adipose/RYGB-durability	adipose	RYGB-durability	1	EGFL6	-5.802448979591838
transcriptome	adipose/RYGB-durability	adipose	RYGB-durability	2	SPP1	-4.728979591836735
transcriptome	adipose/RYGB-durability	adipose	RYGB-durability	3	PRG4	-4.547551020408163
transcriptome	adipose/RYGB-durability	adipose	RYGB-durability	4	IL1RN	-4.073469387755101
transcriptome	adipose/RYGB-durability	adipose	RYGB-durability	5	PLA2G7	-3.9957142857142873
transcriptome	adipose/RYGB-durability	adipose	RYGB-durability	6	CHI3L1	-3.8010204081632657
transcriptome	adipose/RYGB-durability	adipose	RYGB-durability	7	ABCC3	-3.714081632653061
transcriptome	adipose/RYGB-durability	adipose	RYGB-durability	8	SFRP4	-3.687755102040817
transcriptome	adipose/RYGB-durability	adipose	RYGB-durability	9	CA3	3.657551020408164
transcriptome	adipose/RYGB-durability	adipose	RYGB-durability	10	MSR1	-3.6281632653061218
transcriptome	adipose/RYGB-durability	adipose	RYGB-durability	11	MXRA5	-3.5218367346938773
transcriptome	adipose/RYGB-durability	adipose	RYGB-durability	12	UCHL1	-3.4810204081632645
transcriptome	adipose/RYGB-durability	adipose	RYGB-durability	13	LYZ	-3.407551020408164
transcriptome	adipose/RYGB-durability	adipose	RYGB-durability	14	TNMD	-3.272244897959183
transcriptome	adipose/RYGB-durability	adipose	RYGB-durability	15	MMP9	-3.2710204081632672
transcriptome	adipose/RYGB-durability	adipose	RYGB-durability	16	TM4SF19	-3.176530612244897
transcriptome	adipose/RYGB-durability	adipose	RYGB-durability	17	FPR3	-3.154897959183673
transcriptome	adipose/RYGB-durability	adipose	RYGB-durability	18	ALCAM	-3.1536734693877544
transcriptome	adipose/RYGB-durability	adipose	RYGB-durability	19	CD52	-3.142244897959184
transcriptome	adipose/RYGB-durability	adipose	RYGB-durability	20	LCP1	-3.0944897959183666
transcriptome	adipose/RYGB-durability	adipose	RYGB-durability	21	TM4SF19-TCTEX1D2	-3.023061224489796
transcriptome	adipose/RYGB-durability	adipose	RYGB-durability	22	STMN2	-2.998979591836735
transcriptome	adipose/RYGB-durability	adipose	RYGB-durability	23	SLC27A2	2.96326530612245
transcriptome	adipose/RYGB-durability	adipose	RYGB-durability	24	MSC	-2.828163265306122
transcriptome	adipose/RYGB-durability	adipose	RYGB-durability	25	FCER1G	-2.8248979591836734
transcriptome	muscle/metformin+resistance	muscle	metformin+resistance	1	MYH1	-1.948177265742556
transcriptome	muscle/metformin+resistance	muscle	metformin+resistance	2	IGFN1	1.5775909042979783
transcriptome	muscle/metformin+resistance	muscle	metformin+resistance	3	COL1A1	1.3592066759245278
transcriptome	muscle/metformin+resistance	muscle	metformin+resistance	4	COL3A1	1.3001002830725907
transcriptome	muscle/metformin+resistance	muscle	metformin+resistance	5	MXRA5	1.1773188173158289
transcriptome	muscle/metformin+resistance	muscle	metformin+resistance	6	NMRK2	0.994800208177247
transcriptome	muscle/metformin+resistance	muscle	metformin+resistance	7	ACTN3	-0.956664052005392
transcriptome	muscle/metformin+resistance	muscle	metformin+resistance	8	THY1	0.9450861788024608
transcriptome	muscle/metformin+resistance	muscle	metformin+resistance	9	COL4A1	0.9393584386836156
transcriptome	muscle/metformin+resistance	muscle	metformin+resistance	10	BGN	0.9225145155030609
transcriptome	muscle/metformin+resistance	muscle	metformin+resistance	11	MYBPH	0.9215387631059544
transcriptome	muscle/metformin+resistance	muscle	metformin+resistance	12	FRZB	0.9211221855700042
transcriptome	muscle/metformin+resistance	muscle	metformin+resistance	13	THBS4	0.8982934671001775
transcriptome	muscle/metformin+resistance	muscle	metformin+resistance	14	COL1A2	0.8669000585564395
