panel	layer	feature	beta	se	p	n	loeuf_cc	p_bonf
gse43471_adipose_table	transcriptome	loeuf_miss	-0.012173454110067705	0.009457031636725241	0.19801121275061517	19564		1.0
gse43471_adipose_table	transcriptome	tau_miss	0.01108114009344203	0.009213432251084366	0.22908633636230402	19564		1.0
gse83352_muscle_exercise_table	transcriptome	loeuf	-0.00011504880550278215	0.008960790287141123	0.9897561330211678	15914	0.01086517719279179	1.0
gse83352_muscle_exercise_table	transcriptome	tau	0.04496531334938562	0.009082188200544534	7.385819271753069e-07	15914		9.60156505327899e-06
gse83352_muscle_exercise_table	transcriptome	n_drug_log	0.008384510415054646	0.008527923239115375	0.3255173073106463	15914		1.0
gse83352_muscle_exercise_table	transcriptome	n_gwas_log	0.010337519579891942	0.008827532137213663	0.2415769465078319	15914		1.0
gse83352_muscle_exercise_table	transcriptome	is_secreted	-0.011157386023093876	0.008369080346886111	0.18247683823058303	15914		1.0
gse83352_muscle_exercise_table	transcriptome	is_enzyme	0.010602738525108244	0.008273759592613292	0.20002168037840695	15914		1.0
gse83352_muscle_exercise_table	transcriptome	is_membrane	0.022027192962942425	0.008397542358065491	0.008714588889099692	15914		0.113289655558296
gse83352_muscle_exercise_table	transcriptome	arch_nsig	-0.02648053805063641	0.024940529365689024	0.28835045034230133	15914		1.0
gse83352_muscle_exercise_table	transcriptome	arch_str	0.009000213005401422	0.01206584057435759	0.4557126784646591	15914		1.0
gse83352_muscle_exercise_table	transcriptome	causal_nonEGFR	-0.004850754230049207	0.010113224061771954	0.6314800623921708	15914		1.0
gse83352_muscle_exercise_table	transcriptome	has_arch	0.012745017589474586	0.025210159325392657	0.6131719895641989	15914		1.0
gse83352_muscle_exercise_table	transcriptome	loeuf_miss	-0.005881015809807262	0.010391230284374407	0.5714212918612862	15914		1.0
gse83352_muscle_exercise_table	transcriptome	tau_miss	0.020357063011143633	0.009820641113557951	0.03818295151477129	15914		0.49637836969202676
