mark_key,Z_responsiveness,meas_mean
RNU6-1168P,1.0478926472791663,2.245432960526315
RN7SKP89,0.6907115066287897,5.998291842105263
C5orf15,0.4126155038016279,6.713739980209678
MRPS6,0.3898582064371589,9.4806339992144
CABCOCO1,0.6399188697017774,2.6045929605263143
CLNK,0.0724700082532749,5.147301347117795
PKMYT1,0.0479923530161813,6.087115067355891
TTC27,0.397571278080866,5.678071464136177
ACTN3,1.2240683480946106,3.785275460526316
DDX55,0.3103234402950282,6.343542882767842
DENND4A,0.2187057624491113,6.669577208042444
CDX1,0.2273325212194895,6.37757217575188
CACNB2-AS1,1.6971913581205365,7.291747828947368
BSG,0.06649553417827,7.431879300320612
XRN2,0.124383750604166,6.791268082980937
PROK2,0.1228363319708725,4.488154639398644
EEF2KMT,0.6359539017579325,5.47679775069946
TMEM109,0.3352768307341832,8.207649834288997
RNU6-884P,0.0675350918190772,1.988004407894736
LRRD1,0.2491596474567292,1.7139326315789472
DCAF13,0.274630667621448,5.277152787133635
TRIM49,0.4989474739160653,5.4653954855889735
SNORD114-10,0.7021642014286059,2.216961184210525
SMG1P7,1.1551966260737156,2.23324605263158
TRAJ33,0.2755141435901292,4.568075526315789
RP11-452L6.6,0.3362247580319102,1.504236657059944
LINC02343,0.2521592456502887,3.11784322368421
PENK-AS1,1.0097037309407877,2.881866776315788
PSIP1,0.4228998302398747,6.399908193866987
ALOX5,1.0737635249574735,3.6798236450696495
CASD1,0.251074039520334,5.10131494378926
LINC02403,0.6458491225864227,2.0059403289473687
LOC100288238,0.6010889596575036,7.837365714285712
SLC3A1,0.8155385620049178,5.4888797368421045
LRRC53,0.0579982768102126,2.4680942105263144
RNU6-982P,0.2772879026841455,1.315762013157895
LRRC71,0.1792613372271301,4.528025657894735
NKX2-6,0.094636560849929,6.4705842465538845
SNORA36B,1.3599145642806554,7.809848333333333
JPT1P1,0.693996531878582,3.65214197368421
SLC8A1,0.0216185769500016,5.452293079297189
MIR3652,0.5993892794811684,10.519164078947362
LINC01640,0.5223660238018527,3.226741250000001
ZNF419,0.0132422353293047,6.480971800548424
CCNT1,0.3603861889228777,6.21518314979484
RNU6-994P,1.1667870506755171,2.7949976973684216
POLD4,0.3332864226681749,6.589952046007123
SLC47A1P2,0.1888881999529016,2.4748628947368423
SNORA53,0.660240654682337,5.577871052631579
DLD,0.2699330263124477,8.036381879790508
DLX3,0.1415136387796146,4.256002486696015
EPM2AIP1,0.8201124850290387,7.605959600310572
CTF1,0.1109721316388115,5.65798983614307
H1-9P,0.4918701480868052,4.130139078947368
PCLO,1.0531675178889746,4.203711609230871
GTF2A2,0.3110541255883275,6.598565978732373
PADI1,0.1209066454294477,5.7158814113408525
NAPB,0.2536245195193802,4.182117277214224
EPB41L1,0.3386719751802167,6.975252063547757
ASPN,0.7155233537006934,4.9959666495756005
SQLE,0.3622724113912527,5.243644525964339
DSCR4,0.3284081352651394,2.8751796710526314
LAMC3,0.2484731196743221,6.306916162280703
USP42,0.1024907609598264,5.738664164267426
MIR1203,1.5121435926668447,4.315769078947367
LINC01048,0.296840231656537,1.8079745394736844
C4BPA,0.2082215303555808,11.15717565789474
RNU6-278P,0.0708946637199793,1.1107313355263158
CCNA2,0.2450357616460133,2.6264920837109984
EBI3,0.700042201442729,4.6070955951367845
CLEC7A,0.6001009957291948,5.150854333365524
UNCX,0.4417036687831448,6.548579995300751
XRRA1,0.1891616188754619,5.29110122317802
LOC100132215,0.2070501556717854,7.826733333333333
SNAPC1,0.204248244822277,5.7332851152205935
RNU6-692P,0.1239190834994252,1.17604165131579
RP11-333I13.1,0.7717277282691293,0.8681307406081076
CNPPD1,0.4455509022843251,6.682946180925515
KRTAP4-8,0.1051593727401136,5.033241951754384
LINC02086,0.4318035947559472,3.650792039473685
MAS1L,0.2475707326950391,3.691849671052632
CD52,0.0632100884908198,6.351128176847724
CFAP69,1.27483307972512,3.36990145599274
TRPS1-AS1,0.1503065611672199,1.5092977631578943
NDUFAF4,0.425753495905405,3.507117230573281
PCAT1,0.400220666570333,2.122627044616787
TANK-AS1,0.7649384642079812,1.952889210526317
POMT2,0.2918777122045966,6.117406090832232
NUS1,0.0685013870014042,5.591928637540614
RP11-798M19.6,0.1003014733890624,0.7219190423280308
GEMIN7-AS1,0.1288443432827697,3.962683618421052
RFX8,0.3846733732946145,2.8558570394736846
GCM1,0.2169561099302306,5.720011154448622
RNF130-AS1,0.4359528245765859,2.763133947368418
RBMY2CP,0.228217416265952,1.9398312500000008
C12orf4,0.0980295055391267,4.585497143191534
NELL1-AS2,0.5650287081259315,3.7382380263157895
MIR764,0.1400151793506714,5.33260956140351
RP11-69M1.6,0.3325616508162637,1.2794134951291594
TCEAL1,0.1764880882387478,6.928411293591912
LINC02955,0.6816462416478996,1.5225801973684203
MIR3661,0.0643909742907653,4.972609605263156
H2BC13,0.3618348000298497,4.057933421052631
OGFR-AS1,0.4112356466199537,5.443496381578949
MRTO4,0.0745741916253335,5.8154618261342605
MIR580,0.2309712946779898,4.9846136607142855
RNF111,0.12999864775052,5.848958419093544
POGLUT2,1.5279287591025668,4.724691973684209
CSPG5,0.1577507106349181,4.641675155851442
ZC3H7B,0.0007595087233657,6.840197136963496
LL22NC03-86G7.1,0.583856619591915,2.6219371275204955
C19orf66,1.0301726852756927,4.620333708443232
HLA-DQA2,1.1414539679710438,5.341481085374749
LLGL2,0.1637990085776037,5.738383103844456
LINC01451,0.1480390764481053,6.038531152882205
USO1,0.4949304458880206,8.59288061210543
SUPT16H,0.4991025893206193,7.562585289479504
LY6G5C,0.2696656673047086,4.721194230483526
LHX5-AS1,0.2320125392463222,3.0390597368421046
SLC43A2,1.177129548581438,6.518452266848811
CA6,0.0633717350796202,3.224553815789474
PLXNC1-AS1,1.2800755909165096,3.081645657894737
DPPA5,0.1086124492865181,3.610726249999998
AKIP1,0.5749961918682344,4.609616993515103
GARIN6,0.2686293093735882,1.6013889473684209
C17orf75,0.2657686122521605,3.467107523092922
CEBPD,0.1530501918126003,7.717838952386938
ZBTB46-AS2,0.8029139784043829,5.535342828947368
RANGAP1,0.2505526740385468,7.192374106308397
IGHV3-73,0.1822313594273981,4.185834934210527
KDM7A-DT,0.7864148129825592,4.30098125
QKILA,0.1382181329591656,3.119562631578946
SAFB,0.664617969003167,6.429855201700547
CATSPERH,0.4588964943503754,3.8127832236842094
MIR122HG,1.1925818429398438,7.177208421052632
MIR548I2,1.178950935167087,6.599700344611529
MIR1231,0.96904577134016,5.139803421052632
FRMD4A,0.0844114307696507,6.476901076480396
LSM2,0.2606340338524644,6.735896393614278
SNORD6,0.2961375807008276,4.733166670052895
ZNF784,0.1897037427453494,6.239247800573524
KNOP1,0.0099854582618697,6.006831497002072
MUC20,1.4540223290434553,6.136535000000002
RNU6-1125P,0.2450453337277264,2.17612177631579
SIKE1,0.0978416286343157,4.931857840500249
MARCHF4,0.2877619668438658,4.287227368421054
RNU1-123P,0.8982094844259213,5.2593284210526345
ZNF84-DT,1.0355952811482836,2.962422763157894
KTI12,0.2598528123395496,5.301248727490457
SYNGR2P1,0.2623266478887311,4.474654144736841
LINC02006,0.3014417294172151,1.924467960526314
RNF32,0.3017630912460152,5.681549302944863
LINC02109,0.0858470433249289,1.933670657894736
LINC01839,0.4665841218385132,2.990557631578947
PSMG1,0.2885053033187429,6.415222525705655
LINC01169,0.1571694355758537,2.990503947368421
AMER3,0.5169836648341597,5.579957153822056
RN7SL331P,0.5226579448494624,6.079804407894734
SDSL,0.9146122330597258,5.807535162798279
RNU6-1339P,0.3194274794134443,1.2253142039473683
CTD-3131K8.2,0.8971657139755982,0.9898737081497722
MIR23A,0.0917212519275416,7.868354523809525
ANKRD16,0.7168886085829536,3.4605800501912523
