gene,meth_delta,expr_delta,expr_p,expr_sig
ANAPC5,-0.0006749553861835598,-0.038388224632207466,0.821062436471537,False
ANGEL1,-0.0027077391953692414,-0.3034195867803743,0.3184513229744491,False
ANGEL2,-0.003524279361880155,-0.08426166141707865,0.7991215520943269,False
ANGPT2,-0.010203206292610798,0.2698017626536868,0.5453400065293439,False
ANK1,0.001363137856331039,0.05268929115938478,0.8410570133625404,False
ANKFY1,-4.080914183550199e-05,0.03613046671825579,0.8943340762633911,False
ANKH,-4.104751758055305e-05,0.22687991498467358,0.5097390339034915,False
ANKMY2,0.000859096453836372,-0.25807080023147566,0.35520288835164215,False
ANKRA2,0.0006404509384485524,0.04298301009085188,0.7705350224833408,False
ANKRD10,-0.0005251506509290161,-0.06113354023596537,0.7354019344077398,False
ANKRD12,-0.002439322157388047,-0.08458475290062184,0.6658820889368056,False
ANKRD13C,-0.002367027870472272,0.1815175450173475,0.43397000342104897,False
ANKRD13D,-0.00024282561700735383,-0.19659228003435933,0.370190870892133,False
ANKRD22,-0.00648126711305035,0.6435340719812924,0.2764535274375287,False
ANKRD27,-0.0029539723599027747,-0.5145164067874541,0.11823047930645549,False
ANKRD34B,-0.005563724217541717,-0.2784205784303838,0.39353469244472516,False
ANKRD37,-0.0015211824479247444,-0.5885611993563208,0.28991063735861927,False
ANKRD39,-0.002535791287882504,-0.22662292252685867,0.25907057712527254,False
ANKRD42,-0.0020764762734721844,0.14619776179827648,0.5301364249858286,False
ANKRD44,-0.0011348720130986828,-0.21940332057246983,0.23280615829428308,False
ANKRD46,-0.0017271676184336937,0.2867040075210052,0.3378248798154941,False
ANKRD49,0.0005935856690597102,0.14036665893004543,0.37760430662464617,False
ANKZF1,-0.0007565551367680632,-0.52221446460826,0.2842892430257547,False
ANO10,-0.0019211089742434183,0.2123921816508934,0.48218489022270106,False
ANO6,-0.0010481161603759634,0.17694841714011453,0.46011912258109366,False
ANO9,0.001408643797747555,0.5353449222492586,0.19526640271878357,False
ANP32A,0.0005532774544177293,-0.08919490947790447,0.8147570882510314,False
ANP32B,-0.001438268136731921,0.0023535301644369688,0.9800976571555209,False
ANP32E,-0.0007950487373734523,-0.3484876643910081,0.14732276847667297,False
ANPEP,-0.0025308481034948716,0.062165305762489895,0.9317085687026514,False
ANTXR2,-0.0036038147490862114,-0.5675675467817477,0.06969669557736603,False
ANXA1,-0.0031464703375130485,0.03706090236530911,0.8826074598386651,False
ANXA11,-0.0008801235125483519,-0.3044339023606113,0.26906076426147846,False
ANXA2,-0.0033610470665522093,0.03433108678939768,0.7260451034491948,False
ANXA2R,0.007695601151464844,0.1683902248039388,0.20251239149702163,False
ANXA3,-0.00616590581904834,0.03767176130721545,0.9276017662303994,False
ANXA4,-0.0022833618421557057,0.06961650494655632,0.707183954313274,False
ANXA5,-0.000998888024479071,0.01726181330462416,0.8775526101582227,False
ANXA6,-0.0026581310863510775,-0.43722264257227816,0.15469526826213537,False
ANXA7,-0.002354697310356388,0.1625225675514299,0.2110128398652604,False
AOAH,0.0004821058298831493,-0.12425446656158456,0.43880076152859737,False
AOC1,-0.007285572741404335,-0.16117447228998327,0.6025890575461386,False
AP1B1,0.0008741701939260517,-0.735569361814071,0.05317032814311335,False
AP1G1,-0.0031634392512607714,-0.21259627851582197,0.40562599242358066,False
AP1G2,0.0013628405612744951,-0.06477026516512928,0.7631091890732884,False
AP1M1,0.0012077763390081241,0.2452252141928586,0.4251077531961217,False
AP1S1,0.0006525549377737833,0.14623888873685528,0.7202064432506718,False
AP1S2,-0.004024395105827787,0.08087463164148373,0.6494082955220463,False
AP1S3,-0.0024078471412175913,-0.12184977330690296,0.6659185354207433,False
AP2A1,-0.0006115571884529603,-0.3866148213410049,0.2994949395778042,False
AP2A2,0.0008422049287060814,-0.16221958506670442,0.2817752964257978,False
AP2B1,-0.001240199454313082,0.5137013005560749,0.13254965865698987,False
AP2M1,0.0009110216736711446,0.025122377628928858,0.8485651300050315,False
AP2S1,-0.001331435365941249,0.09465051811721242,0.23155414881992306,False
AP3B1,-0.002775467457214877,-0.2246272391168909,0.4914575127702606,False
AP3M1,-0.0010646479480072232,-0.03241709715730136,0.9059635473992572,False
AP3M2,-0.0014593942947743962,-0.4259500266428341,0.234576858201966,False
AP3S1,-0.0033454329830272375,0.022458378834008624,0.7875782249645905,False
AP3S2,-0.0027595666635740392,0.25878741656227744,0.07244499647901217,False
AP4B1,0.0004939438521484434,-0.2058067472558161,0.4043830784030299,False
AP4M1,0.0003696773045867211,0.11842116782587314,0.7596850399990343,False
AP5M1,-0.0008457929099813717,-0.4071742988669725,0.11613078950657581,False
AP5Z1,0.005391463668467492,-0.37213616975314984,0.25848858400257385,False
APBB1,-0.0011879052820472863,0.38809716467052247,0.20737568256445355,False
APBB1IP,-0.001817423440957459,0.09361718347822595,0.6521323958279235,False
APBB3,-0.0006321045038856106,-0.07571206642372957,0.7720984879827701,False
APC,-0.0024053637247129322,0.12518144934365596,0.5353338135893901,False
APEH,0.0013318951755297412,0.03210227813498263,0.8731590726110622,False
APEX1,7.286102957395101e-05,-0.09123208845315617,0.21437428284921123,False
APEX2,0.029145719363685027,0.13006690506225468,0.6009513447150847,False
APH1A,0.00031715276600682526,-0.2265577471523528,0.6215911687769025,False
APH1B,0.0013105204874146337,0.054566296666616644,0.6510180996882615,False
API5,-0.002362221541199872,0.0880521538944323,0.6570639405027238,False
APIP,-0.002696714719148273,-0.05849709527494978,0.6908226586695017,False
APLP2,-0.0006427151754878675,-0.7563264814773056,0.03599579837924896,True
APMAP,-0.0013010583945218235,-0.1463041254727798,0.43320560764334193,False
APOA1BP,0.0010731505873985434,-0.14857227750937893,0.3552960514425836,False
APOBEC3B,-0.0016323407897993638,-0.07186555403365544,0.7904674358302112,False
APOBEC3C,-0.0010847358232230517,-0.14400703871974269,0.3381666379307028,False
APOBEC3D,0.0027939255573722743,0.17380983855545545,0.372479278265137,False
APOBEC3F,0.00039305687724850385,0.21451933600157475,0.3876642866612864,False
APOBEC3G,0.0020180952998096855,-0.23495374277076653,0.22042787400781963,False
APOBEC3H,0.0042753665485705545,-0.3907773493791183,0.19467118188368213,False
APOBR,0.000350857187001968,-0.011208369174745584,0.9757716101221494,False
APOC1,-0.00648042303105204,-0.1184004617502566,0.6503604172920774,False
APOC2,-0.0011419769271973491,0.5034254352372857,0.11162162256155331,False
APOL1,-0.0034427726498844386,-0.11190068552719772,0.8222301228714884,False
APOL2,-0.0030215220390339415,0.19111432713003407,0.6266396362804891,False
APOL3,-0.0017949823190182037,-0.14997921774246908,0.44238622430226815,False
