R_restoration,layer
0.1286607830475644,proteome
-0.736136197646098,proteome
-0.9555124061621718,proteome
-0.1991423841666318,proteome
-0.4181151582464903,proteome
2.0988521312203443,proteome
0.1784346483339312,proteome
0.769088322444073,proteome
1.1346700895088169,proteome
0.8832418501501852,proteome
1.0799061337142286,proteome
-0.1731072001971837,proteome
0.1241271363197294,proteome
0.4611652096716822,proteome
-0.7691974524255661,proteome
1.3867686012588745,proteome
0.8855936887431988,proteome
-1.08540815203105,proteome
0.4347584536962215,proteome
-0.4991987087399472,proteome
-0.4742478940713587,proteome
-0.7459999811161421,proteome
1.349611410503995,proteome
0.2537215169846982,proteome
1.4670821261073803,proteome
-0.8891662010875953,proteome
1.707914609379038,proteome
0.6099959463379206,proteome
1.275912639135609,proteome
0.1985454981903903,proteome
1.4722971055735377,proteome
-0.3738644920747238,proteome
-0.8686251014276429,proteome
1.244382323548773,proteome
-0.8206205960654159,proteome
0.0324252610048511,proteome
-0.1221517210182795,proteome
-0.3227397236927354,proteome
-0.7637201532568585,proteome
0.3024555126253887,proteome
-0.9305492442776224,proteome
0.9991295851172456,proteome
0.3889295802201621,proteome
0.6623904491297773,proteome
-0.8939877159785793,proteome
0.0021568485476769,proteome
-0.6314356177673721,proteome
1.6907772205698357,proteome
-0.0431031659468954,proteome
0.6795897678392451,proteome
-1.466270822129617,proteome
-0.1990259506152681,proteome
-0.310467263071661,proteome
1.2406279495867143,proteome
-0.5704457946736057,proteome
-0.6005475587606568,proteome
-1.1341242747207825,proteome
-0.9097690907846664,proteome
1.2048303082806386,proteome
0.397525311311393,proteome
0.4743733173671831,proteome
0.8362902303322182,proteome
0.486614276579378,proteome
-0.4858222790847598,proteome
-1.4166428297085545,proteome
-0.334162198721755,proteome
1.239128769804865,proteome
0.2812222543489838,proteome
-0.9496352607356257,proteome
0.1041004237460761,proteome
1.4543422423836234,proteome
0.8552788837056229,proteome
-0.9992439338341824,proteome
-0.2669676040634232,proteome
2.0303334031353324,proteome
-0.375232572260784,proteome
0.6644141944620147,proteome
1.052246872876022,proteome
1.6140596067776252,proteome
-0.1976469246781343,proteome
-0.1692948371338322,proteome
-0.8932441113497241,proteome
