gene,meth_delta,expr_delta,expr_p,expr_sig
ALAS1,-0.00328318395675,0.46461918044523354,0.005523953421774654,True
ALDH16A1,0.0013153506657995453,0.3247848895747531,0.024876950278231093,True
ALDH18A1,-8.967268746466658e-05,0.0980957567546267,0.21555282471886913,False
ALDH1A1,0.007955071087,-0.06205730450533304,0.4672775673048484,False
ALDH1A2,-0.00153920434135,0.008131129194301307,0.9359193609978378,False
ALDH1A3,-0.007353688582844828,0.4218426084712537,0.1030162495602898,False
ALDH1B1,-0.0049421870675875,0.412810201429644,0.0010020751472800537,True
ALDH1L1,0.0024104998775892864,0.17039955266033535,0.02720769500479643,True
ALDH2,0.0002298836610461539,-0.0784582886348565,0.1767855863487898,False
ALDH3A2,0.0014401579322799998,0.11907556773030169,0.04911899681358542,True
ALDH4A1,0.0028479206554684216,0.24104478243098343,0.002633867150208389,True
ALDH5A1,-0.0029009905209583333,0.14423658846278606,0.04881555050237365,True
ALDH6A1,2.2148835866666727e-06,0.22803150563335253,0.037149256829821536,True
ALDH7A1,-0.0020339470520333337,0.18700757338206414,0.04040610755099656,True
ALDH9A1,0.0010703976168199996,-0.13998643506888458,0.028773968668598104,True
ALDOA,0.007715933672772001,-0.12601902201645096,0.15912416426164133,False
ALG1,0.0013997851444166667,0.045959547283277516,0.7045201249683309,False
ALG11,0.00047226800246800006,0.18625672454941844,0.08210798926834019,False
ALG12,0.0010196063438194735,0.05223914353358623,0.6119219991766571,False
ALG14,0.00212472919547,-0.06727863370541946,0.5044957342473263,False
ALG1L,0.0023228809612,0.2581891789686965,0.04582844974742279,True
ALG2,0.00151420058225,0.13582753145823487,0.04133568202381246,True
ALG3,0.0006462150356584211,0.1191305749876122,0.07948384862029202,False
ALG5,0.0005206907885694119,0.05964544603166295,0.4641455378649255,False
ALG6,0.0033098934937,-0.07821898393700609,0.5648611225081416,False
ALG8,-0.0016026512630333337,-0.17710342401161938,0.10546985237755113,False
ALG9,0.0055163802857889225,-0.010314820704445248,0.9392653028045526,False
ALKBH1,0.0019196704011592307,0.023505116613086144,0.7536859745020481,False
ALKBH2,0.0037058548890470592,0.20681083513859094,0.1574989403183678,False
ALKBH3,0.0010744215852571428,-0.02220479690334393,0.8282166185508308,False
ALKBH4,0.0023797120984331253,0.02227171974612453,0.8273707149635526,False
ALKBH5,0.003075351623658636,-0.0880622133146769,0.20469669865555595,False
ALKBH6,0.0017256504749769226,-0.14679693853294554,0.3121654577116738,False
ALKBH7,0.0006846539327636364,0.1497974244259579,0.15373168168817533,False
ALKBH8,0.00044052335460000025,-0.01610892744497915,0.8691155022932089,False
ALPK2,0.0197513274738,-0.10082501795326632,0.37650830747329744,False
ALPK3,0.012560931476941178,-0.1909584093133916,0.11949752194867547,False
ALS2,0.0011200763829231249,-0.15998132462989553,0.05125528307533386,False
ALS2CL,-0.0008560931255454546,-0.17110398263018387,0.20463218422108476,False
ALS2CR8,0.0025232915597000003,-0.10422988412500239,0.21734275642596834,False
AMACR,0.005542781700181334,-0.012441772213400664,0.9024435347476297,False
AMBRA1,0.001659777674684,0.08175544670809916,0.2463574520616024,False
AMD1,-0.0003384498123555556,-0.09086208170368547,0.5103058623836044,False
AMDHD1,2.314655736363454e-06,-0.0029395485830868203,0.97459591870497,False
AMDHD2,0.002469953572435263,-0.13135119773704715,0.2943604243332788,False
AMFR,0.001595010209457895,-0.23861763292161287,0.012528614674628276,True
AMHR2,0.004440888088599999,0.13056283721936793,0.26648346265566586,False
AMIGO1,-0.0009671065231045456,0.25423993030938946,0.03725406399460077,True
AMIGO3,0.00035849490277333336,-0.020016516893127282,0.9288386989312111,False
AMMECR1L,0.0005281881439545458,-0.062171052048752014,0.2804108932948578,False
AMN1,0.0018632056276,-0.10904885759472034,0.397478558508528,False
AMOTL1,0.002432596947558108,0.14225552908486525,0.32491429492813506,False
AMOTL2,0.007125835825930073,-0.07951321013066752,0.48766682159404673,False
AMPD1,0.0173108873675,-0.27390676335305153,0.025284985381128982,True
AMPD2,-0.0007669343114353848,0.19048755186594032,0.07469215731307023,False
AMPD3,0.011266130539775002,-0.1956340431524387,0.363361850722286,False
AMT,0.006203911408576668,-0.3692697347389094,0.07494455281865636,False
AMY2A,-0.001205743334,-0.29204649282703576,0.0031735187734083224,True
AMY2B,0.0022669688671228573,-0.6303987824609631,0.003410127611749333,True
AMZ2,-0.0003700387346235295,-0.048973869472807685,0.3253155712424556,False
ANAPC1,-0.0004277825140384615,0.08229632381422793,0.24322729582707764,False
ANAPC10,0.00433397121692025,0.015686046278376088,0.9073508081438889,False
ANAPC11,0.002026899603132105,0.1790846105269367,0.014616554302912442,True
ANAPC13,0.001538859485814286,-0.06485709731072128,0.35603180255310296,False
ANAPC2,0.008045208633820002,0.01123737361291808,0.8696665533121124,False
ANAPC4,0.0032456996356624995,-0.13308537700950798,0.32321044698941437,False
ANAPC5,-0.0004678282510678947,-0.09717835385663784,0.16905186956357807,False
ANAPC7,0.001490113471635,-0.0395249719014457,0.661921877446769,False
ANGEL1,-0.004684349926307693,0.03343397249937197,0.6468261155390258,False
ANGEL2,0.001716989183469375,-0.0989258336535252,0.31487929282709165,False
ANGPT1,0.009086293549734165,-0.1545348193930234,0.4302131225037482,False
ANGPTL1,0.025736183420000003,-0.12552202029641596,0.4610766902481521,False
ANGPTL2,0.00806333836575,0.13234756703143305,0.32890742297501663,False
ANGPTL4,0.0019107454491916667,0.30568440443093314,0.2628738601943163,False
ANK1,0.002453598340837417,0.2558693285922539,0.018678272778757533,True
ANK2,-0.0026430783034380395,0.07632581720976693,0.5740973643442248,False
ANK3,0.003406436823548648,-0.7002044222654693,0.0018385672448010466,True
ANKAR,-0.0044408380224142865,-0.08971008782077523,0.48267335051304705,False
ANKFY1,0.005663879240506279,-0.0787123603429781,0.5464758430768479,False
ANKH,0.0014295795684877179,0.0011465642018307,0.9858540244834201,False
ANKHD1,0.0030645078607562503,-0.1575314738922575,0.06135034062066785,False
ANKIB1,0.0019056490744149997,-0.007679703862944829,0.9365660036640864,False
ANKLE2,-0.00018272286377295463,-0.1442789118070991,0.08028984787891433,False
ANKMY1,0.002295676887211471,-0.06425217828836159,0.5434379914265329,False
ANKMY2,0.000267372182182857,-0.028902403540086705,0.7723863331681406,False
ANKRA2,0.00101373199571875,-0.08888325961728513,0.2898859495899351,False
ANKRD1,0.023525880960166667,0.08944889291773758,0.8108856825570316,False
