gene,rev2,rev5
SFT2D3,0.1986486486486485,0.0383783783783783
SNHG23,0.4416216216216215,0.1764864864864865
G6PD,-0.2318918918918917,0.0718918918918918
RNA5SP38,0.2432432432432431,0.394324324324324
MPRIPP1,-0.1821621621621621,0.025945945945946
SLC27A1,0.2237837837837837,0.2118918918918919
MAP1LC3C,0.5681081081081082,0.4094594594594593
ADAMTS6,-0.3435135135135135,-0.3735135135135136
HAVCR2,-1.502972972972973,-1.6397297297297293
ANKRA2,0.3424324324324325,0.0127027027027027
SPTBN1,-0.4251351351351351,-0.2089189189189189
RPP25L,0.2113513513513514,0.2094594594594595
PRDX4,-0.3583783783783787,-0.4970270270270271
PARL,-0.2040540540540541,-0.1783783783783785
RARG,0.3202702702702702,0.0664864864864864
SVBP,-0.2094594594594593,-0.192162162162162
DBP,0.9051351351351352,0.9475675675675675
ABLIM2,-0.1856756756756757,-0.1386486486486487
RN7SKP2,0.3194594594594596,0.1302702702702702
PDZD11,-0.1662162162162162,-0.099189189189189
NUBP1,-0.4172972972972973,-0.6459459459459461
OSTCP2,-0.2791891891891891,-0.4067567567567569
MTND1P36,0.2691891891891891,0.1362162162162163
AGO1,-0.4029729729729728,-0.3699999999999999
EIF4A1P7,-0.2494594594594593,-0.3394594594594594
EWSR1,-0.193243243243243,-0.037297297297297
NCKAP1L,-2.4962162162162165,-2.9259459459459456
UBAC2,-0.1975675675675675,-0.3908108108108106
CPSF3L,0.2227027027027027,0.1448648648648648
VKORC1L1,-0.8916216216216218,-0.364054054054054
SHISA5,-0.484864864864865,-0.2645945945945946
RNA5SP359,0.4151351351351353,0.3805405405405405
TM2D3,-0.5540540540540542,-0.4983783783783783
OR7E136P,0.199189189189189,0.1816216216216216
EEF1A1P11,0.1699999999999998,0.1721621621621624
TM9SF2,-0.4408108108108109,-0.4143243243243244
IRAK1,-0.8148648648648648,-0.6967567567567567
LSM3,-0.2462162162162163,-0.2113513513513516
ACBD4,-0.2075675675675674,-0.1345945945945945
FNTB,-0.3300000000000001,-0.2656756756756756
PER2,0.6481081081081081,0.5383783783783784
LIG4,-0.3032432432432432,-0.1613513513513513
CYCSP4,0.3010810810810811,0.4137837837837838
CNRIP1,0.3862162162162161,0.118108108108108
ZNF568,0.2205405405405404,0.1437837837837836
CADM3,-1.5827027027027032,-1.6394594594594596
DPF2,0.5827027027027025,0.3751351351351349
SLC26A2,-0.4172972972972974,-0.3678378378378378
ANKMY2,0.465945945945946,0.3699999999999999
OFD1P7Y,0.2232432432432431,0.1016216216216215
AOAH,-1.5951351351351355,-2.1767567567567574
OR7E5P,0.1916216216216217,0.2397297297297298
CNDP2,-0.5586486486486489,-0.5978378378378378
PPIAP2,-0.3191891891891895,-0.0556756756756758
NME5,-0.4862162162162162,-0.4224324324324324
PVRL1,-0.7748648648648649,-0.494054054054054
RGS7BP,0.4691891891891893,0.9451351351351348
KLF9,0.4700000000000002,0.3118918918918921
PTPN7,-0.1572972972972972,-0.1529729729729729
NUDT5,-0.6567567567567567,-0.5640540540540541
DMTN,-0.6629729729729729,-0.2081081081081081
LRRC8B,0.4248648648648649,0.5248648648648649
OR10J4,0.2062162162162162,0.1651351351351351
CC2D1B,0.2232432432432431,0.2416216216216215
FUNDC2,-0.2918918918918918,-0.1262162162162163
GBA,-0.8837837837837841,-0.9110810810810812
FAM171A2,-0.254054054054054,-0.2697297297297297
HMGXB3,-0.1872972972972971,-0.1316216216216215
