gene,z2,z12
S100A12,-0.9077609204503196,-0.6677895468467362
C1QA C1QB  C1QC,-3.7556275830953503,-14.280220442678988
FGF4,-0.047503132763006835,-0.0279980960778317
CCL28,10.37418110043412,2.7081516489264152
CD97,1.0263298727395098,1.7301275605022879
FLRT3,3.627196742328496,3.3570839502886343
CDH1,82.7245280251479,74.88297658777955
EIF5A,1.1037869405681497,-41.268875319119296
CALR,0.5899321829836359,0.777182503769411
NOTCH1,13.995851973349149,13.527733196872187
EFNA3,1.5915160883365576,1.0877019682665496
ICAM1,-2.6958651054500664,-1.5733385480926243
TBP,-0.03495335044726333,-0.08727944949818459
GAPDH,-32.34677521587602,-31.138935161538853
COL23A1,-0.11636444428011954,-0.06578172446555713
SERPINA10,-7.912504822623147,-17.489033994383064
PDK1,0.4176761609781798,0.21443240792667573
MIA,3.8787734443967503,3.230368842796
P4HB,0.00859845719882306,0.09105206154578101
CLIC1,-2.6333578137888995,-0.8247239280930057
PA2G4,-0.586121741987825,-2.1648966770232247
SPINT2,1.025877291625065,0.7481494397224797
CCL14,0.5861326915309164,9.64173345672317
ADAMTS15,-0.697429687268331,-1.0621228677773749
LDHB,-0.04046571542424923,0.042321054958472826
NACA,-1.3748100311667495,-4.541101494936791
ELANE,-0.11822805651427766,0.012386645977050486
BCAN,3.1296276051686074,2.1722755991693403
FASLG,0.19577637053534597,-0.25134562586833964
STX1A,-0.27546714515463366,-0.43771138177384034
HMGN1,-0.5245721703623867,-0.1748571958490845
JAM3,1.1636298434104067,-0.24030050166302308
HIST3H2A,-3.185353479808494,-2.6341356520801535
PIGR,-7.3944454404915305,-6.729414184160495
PLXNC1,0.20744347368401386,-0.16686888753991688
MUC1,0.5719158047810287,0.39113811390204084
CTF1,0.03527402606593378,0.08790686139697568
SERPING1,12.582119966340132,8.888257702827449
SELP,-14.21338289609851,-1.6695494589118758
CTSB,0.2792593369119589,2.120262629431748
MFRP,-1.158541955720598,-1.0334793922125478
JAM2,8.560790770588607,6.677604730794151
CD200R1,-0.3999649100430531,-0.26694951678961737
ECE1,-12.0119407590934,2.8469730731315894
RAN,-2.627342864784018,-0.9649350783761319
MATN2,9.377699682161795,10.523947852317077
CHST15,6.515255527814399,4.835816459518136
DCN,2.294031473386079,1.0078421441887304
PRKCB,-1.0755006209153386,-0.4950024032309198
TIMP1,0.0504700209590555,0.008696487133576942
PTGS2,-0.3036052809909411,-0.12362689192777833
FTH1 FTL,-19.669832206364276,-28.97945201999083
CCL8,-0.0015133290509684902,0.044654631818740076
CEBPB,-0.17619858748790346,-0.4473190989227977
CLC,-0.031545122667676874,-0.022232244690229774
PRLR,0.5369057357005518,0.23807461403691346
TGFBR2,0.2215983130230503,0.7358570508990846
FLRT2,24.909480563420107,27.95826501660168
PKM2,-7.765269966520642,-1.2615630968472107
IL5,-0.012524598366633255,-0.04097185771216611
IFNA7,0.4474640279735931,0.0010472370989089304
CD200,3.051199677852529,2.6418750889410516
IL11,-0.054895826276603735,-0.043573320264530715
AMH,0.969370349577991,1.6647697315642735
SGTA,-1.3868910270442727,-1.3916914646233514
NBL1,1.9720711083262366,2.252036572438268
NRXN1,0.3449215569225311,0.39756690533210043
MAPT,0.06913505009439798,0.003277357865540492
IL12A IL12B,0.00777746045782908,-0.016322594449457294
DCTN2,0.7057790788603014,1.974422797795241
PLA2G5,-0.12881042492735648,-0.07644947117104477
MSLN,-0.17820381381271053,-0.18870270532277716
IL37,-0.2818981767969889,-0.9296046363274332
AURKA,0.026221892798356603,-0.20410424282349948
CTGF,-0.11623523967164089,-0.6049902094329859
KIR2DL4,-0.019419525651294626,0.006679756189575919
PLA2G1B,1.4352077108589714,1.0425620371236846
FUT3,0.1488823973529913,0.2555787663903036
FGF19,28.443117109880195,28.210567169414887
APOD,-0.09116224593138905,2.866068723508141
CDON,0.8135802504733983,-1.0123369486165852
CXCL6,-0.03747327829432061,0.4462747692006209
IL36B,0.14481719698792017,-0.018402357321010636
MASP1,-0.6110618812719011,-2.1973895193813764
CFL1,0.880343264549427,-0.37217969170724535
SORCS2,-5.800593449628805,-7.625118807791431
TNFAIP6,2.095961538557852,1.2057065750697582
NRCAM,14.618442993526767,21.502609425537425
PDE3A,-0.34130966764144444,-0.3529613500325985
TNFRSF21,3.0703248797855265,7.47585408636449
RASA1,-1.350940027227474,-2.2437796225190523
SEMA6B,-0.31258098644774024,0.6456411509014608
CDC42BPB,-0.5126152693065661,-0.427075616212406
HSP90AB1,-23.22025805223119,-24.258104797169647
IL2,0.02911490807701522,-10.281995960670212
CD163,-6.094632479805551,-2.215990915713468
PIK3CG,0.12513137844864244,0.6963399863561358
NPPB,15.80471649205021,31.01868605989845
CAMK2A,-0.16951060656766975,-0.00020828970236705667
GDF2,6.223391806865147,5.681014134558717
TF,168.2718482592615,89.4588190965803
C1QBP,0.3196580411324887,0.352062970622374
ERBB2,0.13741749576674475,-0.13659437362837137
EFNB3,0.10238625756962452,0.595413310477389
FSTL1,7.010050780724463,17.988695759564877
HIF1A,-0.018844236657271904,0.03395990465717838
BAD,-0.6167790027046963,-3.762523450335964
