layer,Z
proteome,0.0723319611123263
proteome,1.110794521153179
proteome,0.7081310989206768
proteome,1.475941733203122
proteome,0.5675319325005225
proteome,0.3598917400064236
proteome,0.8130441247374435
proteome,0.2855082137527953
proteome,0.7306707768051911
proteome,1.0850915536743888
proteome,0.2822405753617483
proteome,0.6341016070906523
proteome,0.194120863170975
proteome,0.3748100091901913
proteome,0.8083862430988413
proteome,0.3869922477831523
proteome,1.3511536650474647
proteome,0.342189746674056
proteome,0.3732630738070938
proteome,0.9489494550821213
proteome,1.0618400712164564
proteome,0.327591575146458
proteome,0.9230439573684452
proteome,0.2310579611206788
proteome,1.0631624511523403
proteome,0.5204484146626321
proteome,0.1206915240594817
proteome,0.0222215513258369
proteome,0.8119198969770205
proteome,0.3301088575758504
proteome,0.764954574383168
proteome,1.0948411786813534
proteome,0.7333771059952947
proteome,0.2674007749182233
proteome,1.1318686067629988
proteome,0.4299932337558698
proteome,0.9330032508862112
proteome,0.2354061019747672
proteome,0.7459558820302546
proteome,0.8162414278234231
proteome,0.7320656322237031
proteome,1.0270887467995542
proteome,0.4131519230794198
proteome,0.0510734555898109
proteome,0.997665579775668
proteome,0.4970557430914711
proteome,2.033586415631934
proteome,0.0061375921055853
proteome,0.0485802225180759
proteome,0.4230423133223618
proteome,0.3441974592414658
proteome,0.0162975301492269
proteome,1.0888504404109431
proteome,0.6382232602826452
proteome,0.5830517952276438
proteome,0.0273586612743718
proteome,0.3478900233853942
proteome,0.5345519429854964
proteome,0.2259184889129404
proteome,1.3264514546572002
proteome,0.7009910444292418
proteome,0.546296671107412
proteome,0.7328950608600189
proteome,0.7091857118581201
proteome,0.8711027049076583
proteome,1.5020376116655685
proteome,0.397202194970906
proteome,0.7225010630447373
proteome,0.445556546533627
proteome,0.0892013396939874
proteome,1.4683057910012862
proteome,0.4026275588985274
proteome,0.7453778381609801
proteome,0.2209669062950693
proteome,0.3718392168265994
proteome,0.502419586095383
proteome,1.4842338751934092
proteome,0.1896109764573668
proteome,1.330935923175351
proteome,0.3757761582882251
proteome,0.1022258110468045
proteome,0.9864557464530418
proteome,0.4651498289652328
proteome,0.0577077110954973
proteome,1.1381754366159855
proteome,0.66847142932533
proteome,0.5776166973771655
proteome,0.2293630887196137
proteome,0.3047402879781242
proteome,0.3103585556254012
proteome,0.4788672573411376
proteome,0.7361657727617253
proteome,0.8097322149515164
proteome,0.4033810985017727
proteome,0.5314346223344597
proteome,0.5287398764269832
proteome,0.191858048157429
proteome,0.0617712625208391
proteome,0.5731559075164847
proteome,0.0608442874716761
proteome,0.4376326894839021
proteome,0.8126325285297213
proteome,0.1459113165426116
proteome,0.0476268651882356
proteome,0.2301955499658767
proteome,0.2681364772640439
proteome,0.1254166870039569
proteome,0.305143063009609
proteome,0.4019135787716224
proteome,1.2276240975846466
proteome,0.5919862142670694
proteome,0.3042684451683492
proteome,1.052725482994454
proteome,0.0709161902544856
proteome,1.4968831694236588
proteome,0.2132701886526914
proteome,0.4687353163233224
proteome,0.1375381313439144
proteome,0.5740559972015673
proteome,0.4208238904376
proteome,1.0431511679807408
proteome,0.0122742053340949
proteome,1.2526151583321303
proteome,0.9834028145822992
proteome,0.1431146270875626
proteome,0.7187931785315532
proteome,0.660311334716092
proteome,0.7190211212695693
proteome,0.0531877649040744
proteome,0.1414961468074655
proteome,1.1286234057077105
proteome,1.2447284818967093
proteome,0.7517492247218859
proteome,0.6222679404294746
proteome,0.5832660159219673
proteome,0.0119883398112493
proteome,0.4041414219710182
proteome,1.2001809191680064
proteome,0.6643735178686883
proteome,0.6196620304229763
proteome,0.163345103408687
proteome,0.2353646359513163
proteome,0.98164424813125
proteome,0.2354127771786307
proteome,0.8499108071522392
proteome,0.8730291253882705
proteome,0.9781012036569796
proteome,1.1524315926097817
proteome,1.0961617471570693
proteome,0.0056295590783455
proteome,0.3106333510547685
proteome,0.4052177995281946
proteome,1.2055278138807042
proteome,0.1491011167462658
proteome,0.428939216413683
proteome,1.3180998399634642
proteome,1.154952378189274
proteome,0.6782108376891708
proteome,0.136251871414857
proteome,0.3905750922624414
proteome,0.8695080896794389
proteome,0.5429711120637754
proteome,0.1597848279063621
proteome,0.2024801615516162
proteome,1.0215076478307212
proteome,0.6236012936872705
proteome,0.589968142408749
proteome,1.1889787715303974
proteome,1.079877690128116
proteome,0.8577047716179337
proteome,0.3381671131924625
proteome,0.0196637432990428
proteome,0.8418735758455843
proteome,0.5603750821773186
proteome,0.3215116382267103
proteome,0.4930912940014422
proteome,0.8032787853395593
