mark_key,class,base_sd_mean,Z_responsiveness
AGPAT4,reversible,0.3397295269091782,0.2552836296044168
AGRN,persistent,0.3374531701327762,0.1309671152131098
AGTPBP1,reversible,0.3114136644353571,0.1143503773768311
AHCYL2,persistent,0.39799443562805,0.1195839331452307
AHI1,persistent,0.376711695036237,0.3300159550368194
AHSP,reversible,0.8034521655563794,1.4177017193499502
AIF1,reversible,0.5053095092441537,0.5699023674216646
AIMP1,persistent,0.2253590418500871,0.0811620995472037
AIMP2,reversible,0.3252863235427649,1.038237107236734
AJAP1,persistent,0.4069769441448608,0.0709155513843139
AK2,reversible,0.2409747001260241,0.0750672128519694
AKAP10,persistent,0.3209126414740046,0.0843957367467429
AKIRIN2,reversible,0.2800588942676495,1.1545782190510805
AKT1S1,persistent,0.3179833075048136,0.4693041581471715
ALAS1,reversible,0.4458112211691269,1.1803950200383413
ALDH1L1-AS2,reversible,0.4221914622158779,1.008961637844833
ALDH3A2,reversible,0.3439054985993989,0.5220201319126906
ALDH8A1,persistent,0.3767266121859258,0.529569258838014
ALDOB,persistent,0.3313559051679705,0.5118174752812046
ALG10,persistent,0.4056090179227676,0.3058233161745735
ALG9,reversible,0.296876323700798,0.9903179672847492
ALKBH1,persistent,0.3514693221640025,0.3862840023515074
ALKBH3,persistent,0.28803968878038,0.0763358690162413
ALKBH4,persistent,0.295040817292315,0.0672855196890302
ALKBH5,persistent,0.2492757654829234,0.4285596628226707
ALKBH6,persistent,0.2754576451491985,0.1562955739209318
ALMS1,reversible,0.3309279979099397,0.964589395387966
ALS2,reversible,0.3090791527494745,0.6262621308487761
AMIGO3,persistent,0.3608204799560828,0.021443809914698
AMOT,reversible,0.4178259454299091,0.86319919457473
AMZ2P1,reversible,0.305638354475187,0.5308781536542037
ANAPC1,persistent,0.3338264679306762,0.2669386370820888
ANAPC15,reversible,0.2380412418603011,1.1042199895095457
ANAPC2,persistent,0.318325289155285,0.1536261798375574
ANAPC5,persistent,0.2052566217334802,0.0806206323131528
ANAPC7,persistent,0.2600912497716021,0.5366324958357329
ANGPT1,reversible,0.3763312971326701,0.9568876850543074
ANGPT2,persistent,0.5531399058149943,0.7203586637536722
ANGPTL4,reversible,0.5784248396898843,0.5083331276792635
ANKH,reversible,0.2621076038421016,0.6089502362142919
ANKIB1,persistent,0.3890532555986911,0.2809459005095363
ANKMY1,reversible,0.2827916428963934,0.5732276107270186
ANKMY2,reversible,0.3044322609935252,1.0304997660989934
ANKRA2,persistent,0.4003446218158811,0.8286190471255662
ANKRD16,reversible,0.3358802217813988,0.7168886085829536
ANKRD40,persistent,0.2853539080657987,0.479984494546644
ANKRD54,persistent,0.2465878920371714,0.0841649110993942
ANKRD9,persistent,0.3108175080380579,0.4315752812623148
ANKS1B,persistent,0.4428172534020693,0.0510751509278592
ANKZF1,reversible,0.2892397194194536,0.7638386294610515
ANO1,persistent,0.3320635691200729,0.1081022428748205
ANTXR2,reversible,0.2829022999655013,1.2584797913103154
ANXA3,persistent,0.4869694986540753,0.0526401174759541
ANXA5,reversible,0.3904690512540146,1.37074628099334
AOC2,reversible,0.4057785822783405,0.7232490190734392
AOX1,persistent,0.4478393331198219,0.3599158549235483
AP2A2,reversible,0.2121364487593076,0.3751138485311694
AP2B1,reversible,0.3069334777760262,0.0863851156483997
AP3B1,persistent,0.4085527272990802,0.0401043116114996
AP4B1,persistent,0.2791942241779738,0.1395304550237259
AP4E1,persistent,0.3062643990483876,0.037547871754156
AP4M1,reversible,0.2521869143839464,0.183279213908733
AP5Z1,persistent,0.1310021689068338,0.2105696079817141
APAF1,reversible,0.4084379670617168,0.3278891755790478
APC,persistent,0.2995882235176448,0.3454418370174856
APCDD1,persistent,0.4496027010509553,0.0091056513327109
APEX1,persistent,0.3663292686008631,0.1369873486778553
APOBEC3G,reversible,0.4093351022584677,0.17965678049856
APOE,reversible,0.4473941987306027,1.7909182879314922
APOOL,reversible,0.3831901107037704,0.6099202321473584
APP,reversible,0.2282754678993886,0.0959200898595709
APPL1,reversible,0.239147332736075,0.3629422723914199
APTR,reversible,0.383294823918329,0.8259059060547894
APTX,reversible,0.2155647160311617,0.4462075724570301
AQP12B,reversible,0.1276014011543336,0.0244132761405778
AQP9,reversible,0.7081168070207542,0.7357049224680283
AQR,persistent,0.2669603007456134,0.120720418066379
AR,reversible,0.2537863444069108,0.4421463044502873
AREG,reversible,0.3994320304495156,0.037032154467929
ARF3,reversible,0.2225555288100636,0.4123374428071746
ARF4,reversible,0.2950843872437599,1.5239524479466429
ARF6,reversible,0.2438788258001278,0.4102977026942702
ARFIP1,persistent,0.2621532216854165,0.0021943688600752
ARFRP1,persistent,0.2638330413200703,0.2979093429745795
ARHGAP11B,reversible,0.1850317270095454,0.7325460850960276
ARHGAP17,persistent,0.2987424668302014,0.0112324847489871
ARHGAP20,reversible,0.4403117602877391,1.1394564953496922
ARHGAP21,reversible,0.323227618393895,1.173743001862034
ARHGAP25,reversible,0.408096869264655,0.1785227497644228
ARHGAP27,persistent,0.2608114561974111,0.0216999065617821
ARHGAP33,reversible,0.3614002844293311,0.901716167669552
ARHGAP4,reversible,0.3453468528873154,0.0292920435954083
ARHGAP5,persistent,0.3230880495821128,0.115085690190448
ARHGAP5-AS1,reversible,0.3367620217517645,0.4654008388134552
ARHGEF11,persistent,0.4324012250666406,0.0352505752479663
ARHGEF3,reversible,0.300712833350622,0.2022322616445332
ARHGEF37,reversible,0.3521688873908984,0.403940682812513
ARHGEF4,persistent,0.4262170234702943,0.1265153347184295
ARHGEF5,persistent,0.3730732093577062,0.1487617057936848
ARIH1,reversible,0.2206058208066211,0.0402279061802556
ARL14EP,persistent,0.3157407990777668,0.0554449914002646
ARL14EPL,persistent,0.1125008261472876,0.1325908484421737
ARL16,persistent,0.3657820221244673,0.1189444840650648
ARL17B,reversible,0.1729363956019003,0.1366311044421548
ARL5B,reversible,0.358800747323466,0.6154070136248262
